facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date
RESIDENTIAL CARE ELDERLY,374604907,PSALM 23 ASSISTED LIVING II,PSALM 23 ASSISTED LIVING LLC,"LACONSAY, IRMA",(858) 610-8455,10176 EMBASSY WAY,SAN DIEGO,CA,92126,SAN DIEGO,08,6,LICENSED,5/9/2025,,05252025
RESIDENTIAL CARE ELDERLY,385600432,PSALM RESIDENTIAL CARE HOME,WILLIAM S ENCARNACION,ANNA VILLANUEVA-AOAY,(415) 621-8505,565 GROVE ST,SAN FRANCISCO,CA,94102,SAN FRANCISCO,14,22,LICENSED,10/4/2018,,05252025
RESIDENTIAL CARE ELDERLY,286830780,PUEBLO HOUSE,A HAPPY LIFE CARE HOME,"KEMPER, CLARIBEL",(707) 254-4917,2600 BROWN STREET,NAPA,CA,94558,NAPA,21,6,CLOSED,8/7/2018,2/8/2024,05252025
RESIDENTIAL CARE ELDERLY,286804167,PUEBLO HOUSE,AMORVIDA VENTURE LLC,"CERVANTES-VIBAT,DAVID",(707) 254-4917,2600 BROWN ST,NAPA,CA,94558,NAPA,21,6,LICENSED,2/8/2024,,05252025
RESIDENTIAL CARE ELDERLY,197610407,PURE ASSISTED LIVING,PURE ASSISTED LIVING INC,"GHAZARYAN, NARINE",(818) 809-8559,9550 REMICK AVE,PACOIMA,CA,91331,LOS ANGELES,31,6,LICENSED,5/3/2023,,05252025
RESIDENTIAL CARE ELDERLY,345920075,PURE CARE HOME,PURE CARE HOME LLC,"MESLOUB, SID ALI",(916) 254-1412,6355 PERRIN WAY,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,2/26/2024,,05252025
RESIDENTIAL CARE ELDERLY,197610350,PURE HEART CARE LIVING,"PURE HEART CARE LIVING,LLC","DELA CRUZ, CHRYSEL S.",(661) 579-9637,45731 TRAFALGAR DRIVE,LANCASTER,CA,93534,LOS ANGELES,31,6,LICENSED,4/7/2023,,05252025
RESIDENTIAL CARE ELDERLY,331881007,PURE HOPE CARE,LA QUINTA CARE INC.,"FADDOUL, LEVI",(760) 834-8242,78740 SANITA DRIVE,LA QUINTA,CA,92253,RIVERSIDE,18,6,LICENSED,2/1/2021,,05252025
RESIDENTIAL CARE ELDERLY,421703748,PURISIMA HILLS,"MARSH, SUSAN",SUSAN MARSH,(805) 733-4395,237 ALDEBARAN AVENUE,LOMPOC,CA,93436,SANTA BARBARA,29,6,LICENSED,2/11/1991,,05252025
RESIDENTIAL CARE ELDERLY,486803757,"PURPLE DOOR CARE HOME LLC, THE","PURPLE DOOR CARE HOME LLC, THE","DENNIS, RHONDA",(925) 812-4631,1200 GRANT ST,FAIRFIELD,CA,94533,SOLANO,21,6,CLOSED,10/31/2018,10/6/2020,05252025
RESIDENTIAL CARE ELDERLY,079201423,PURPLE HEARTS HOME CARE,PURPLE HEARTS HOME CARE LLC,"BISAHA, JOY",(510) 894-5509,1206 DAINTY AVE,BRENTWOOD,CA,94513,CONTRA COSTA,15,10,LICENSED,5/6/2025,,05252025
RESIDENTIAL CARE ELDERLY,374604858,PURPLE PASTA CARE HOME LLC,PURPLE PASTA CARE HOME LLC,"PANKEY, PENELOPE",(619) 728-8704,6216 PEMBROKE,SAN DIEGO,CA,92115,SAN DIEGO,08,6,LICENSED,4/1/2025,,05252025
RESIDENTIAL CARE ELDERLY,079201389,PURPLE VILLA ASSISTED LIVING,SARVAS LLC,"PRAMOD, KAVITHA",(510) 331-5774,1720 MEDITERRANEO PLACE,BRENTWOOD,CA,94513,CONTRA COSTA,15,6,LICENSED,5/21/2025,,05252025
RESIDENTIAL CARE ELDERLY,336403275,PUTTERS LANE ASSISTED LIVING,KAREN EILEEN COCCHIARO,"COCCHIARO, KAREN EILEEN",(951) 927-8651,43307 PUTTERS LANE,HEMET,CA,92544,RIVERSIDE,18,6,CLOSED,12/14/1999,12/8/2021,05252025
RESIDENTIAL CARE ELDERLY,336405788,PUTTERS LANE ASSISTED LIVING,KAREN COCCHIARO,KAREN COCCHIARO,(951) 663-8514,25858 NEW CHICAGO,HEMET,CA,92544,RIVERSIDE,18,6,LICENSED,11/28/2001,,05252025
RESIDENTIAL CARE ELDERLY,198602226,PVE MANOR,PVE MANOR INC,JEHN MARIC DEMAFELIX,(310) 375-8996,3916 PALOS VERDES DRIVE NORTH,PALOS VERDES ESTATES,CA,90274,LOS ANGELES,11,6,LICENSED,9/8/2017,,05252025
RESIDENTIAL CARE ELDERLY,075601280,QCARE RESIDENTIAL FACILITY,QCARE INC.,"CUNANAN, JOAQUIN",(925) 689-7669,3662 LISCOME WAY,CONCORD,CA,94518,CONTRA COSTA,15,6,LICENSED,9/27/2006,,05252025
RESIDENTIAL CARE ELDERLY,075601281,QCARE RESIDENTIAL FACILITY II,QCARE INC.,"CUNANAN, JOAQUIN",(925) 676-8727,4363 FAIRWOOD DRIVE,CONCORD,CA,94521,CONTRA COSTA,15,6,LICENSED,9/27/2006,,05252025
RESIDENTIAL CARE ELDERLY,075601282,QCARE RESIDENTIAL FACILITY III,QCARE INC.,"CUNANAN, JOAQUIN",(925) 682-0111,4369 FAIRWOOD DRIVE,CONCORD,CA,94521,CONTRA COSTA,15,6,LICENSED,9/27/2006,,05252025
RESIDENTIAL CARE ELDERLY,198602995,QFC LOVING CARE,QFC LOVING CARE INC,"ABESHYAN, HELEN",(562) 926-2802,13652 ALDERTON LN,CERRITOS,CA,90703,LOS ANGELES,28,6,LICENSED,4/26/2019,,05252025
RESIDENTIAL CARE ELDERLY,198602994,QFC LOVING CARE INC (SANTANA),QFC LOVING CARE INC,"ABESHYAN, HELEN",(818) 599-3115,18311 SANTANA AVE,CERRITOS,CA,90703,LOS ANGELES,28,6,LICENSED,5/29/2019,,05252025
RESIDENTIAL CARE ELDERLY,198603666,"QFC LOVING CARE INC., LAJARA",QFC LOVING CARE INC.,"ABESHYAN, HELEN",(818) 599-3115,10710 LA JARA STREET,CERRITOS,CA,90703,LOS ANGELES,28,6,LICENSED,8/17/2023,,05252025
RESIDENTIAL CARE ELDERLY,015600304,QUAIL GARDEN,"LONDAGIN, ROBERT","PEACOCK, ALICIA",(925) 449-4411,813 SOUTH J STREET,LIVERMORE,CA,94550,ALAMEDA,15,20,LICENSED,8/11/1998,,05252025
RESIDENTIAL CARE ELDERLY,015601398,QUAIL GARDEN 2,"LONDAGIN, ROBERT; ALICIA PEACOCK; KELLY PEACOCK",ALICIA PEACOCK,(925) 872-2705,836 SOUTH J STREET,LIVERMORE,CA,94550,ALAMEDA,15,6,LICENSED,11/7/2008,,05252025
RESIDENTIAL CARE ELDERLY,019201570,QUAIL GARDEN 2,"LONDAGIN ENTERPRISES, INC","JOHNSON, ALICIA",(925) 449-1210,836 S J STREET,LIVERMORE,CA,94550,ALAMEDA,15,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,547209004,QUAIL PARK AT SHANNON RANCH,NORTHWEST VISALIA SNR HOUSING; MILLENIUM ADVISORS,"MOYER, JEFF",(559) 527-8245,3330 & 3440 W FLAGSTAFF AVE,VISALIA,CA,93291,TULARE,24,150,LICENSED,3/5/2020,,05252025
RESIDENTIAL CARE ELDERLY,547206596,QUAIL PARK MEMORY CARE RESIDENCES,LAUREL COURT AT QP LLC & MILLENIUM ADVISORS INC.,"OTERO-GROSS, LENETTE",(559) 624-3560,5050 TULARE AVENUE,VISALIA,CA,93277,TULARE,24,44,LICENSED,7/11/2012,,05252025
RESIDENTIAL CARE ELDERLY,547201356,"QUAIL PARK RETIREMENT VILLAGE, LLC","QP RETIREMENT VILLAGE,LLC & LIVING CARE MANAGEMENT","SIDOTI,JAMES",(559) 624-3500,4520 W CYPRESS AVE,VISALIA,CA,93277,TULARE,24,175,LICENSED,11/8/2001,,05252025
RESIDENTIAL CARE ELDERLY,347004331,QUAIL TERRACE SUITES,"SEGUBAN, GLORIA & EUFEMIO","SEGUBAN, GLORIA",(916) 834-1360,9060 QUAIL TERRACE WAY,ELK GROVE,CA,95624,SACRAMENTO,27,4,CLOSED,2/9/2010,8/13/2021,05252025
RESIDENTIAL CARE ELDERLY,347001621,QUALITY CARE,"BUSH, ANA & BUSH, NICOLAE",CASSIE BUSH,(916) 706-3085,9316 APPALACHIAN DRIVE,SACRAMENTO,CA,95827,SACRAMENTO,27,6,CLOSED,6/7/2000,1/26/2021,05252025
RESIDENTIAL CARE ELDERLY,157209146,QUALITY CARE ASSISTED LIVING,"QUALITY CARE SYSTEMS, INC.","ESPINAL, ALMA",(661) 871-8133,2607 MT. VERNON AVENUE,BAKERSFIELD,CA,93306,KERN,24,54,LICENSED,6/29/2021,,05252025
RESIDENTIAL CARE ELDERLY,385600417,"QUALITY CARE HOMES, LLC 2",QUALITY CARE HOMES LLC,"FAROL, FERNAND & VERANO, M",(415) 747-2074,757 - 44TH AVENUE,SAN FRANCISCO,CA,94121,SAN FRANCISCO,14,6,LICENSED,10/1/2015,,05252025
RESIDENTIAL CARE ELDERLY,385600418,"QUALITY CARE HOMES, LLC 3",QUALITY CARE HOMES LLC,CESAR ARES,(415) 661-3477,2277 - 33RD AVENUE,SAN FRANCISCO,CA,94116,SAN FRANCISCO,14,12,CLOSED,7/29/2015,11/18/2021,05252025
RESIDENTIAL CARE ELDERLY,385600419,"QUALITY CARE HOMES, LLC 4",QUALITY CARE HOMES LLC,"FAROL, FERNAND",(415) 564-6318,475 EUCALYPTUS DRIVE,SAN FRANCISCO,CA,94132,SAN FRANCISCO,14,10,CLOSED,7/29/2015,4/19/2022,05252025
RESIDENTIAL CARE ELDERLY,306005296,QUALITY LIFE HOMES,SATHER ELDERLY CARE INC,ARDA KARDJIAN,(949) 249-3965,29391 VALERIO COURT,LAGUNA NIGUEL,CA,92677,ORANGE,22,6,CLOSED,10/13/2017,1/20/2023,05252025
RESIDENTIAL CARE ELDERLY,306000776,QUALITY LIFE HOMES #1,"THOMAS SATHER/SATHER ELDERLY CARE, INC.",TOM SATHER,(949) 249-3483,23952 HILLHURST DR.,LAGUNA NIGUEL,CA,92677,ORANGE,22,6,CLOSED,6/12/1998,1/12/2023,05252025
RESIDENTIAL CARE ELDERLY,306000351,QUALITY LIFE HOMES #2,"SATHER ELDERLY CARE, INC.",THOMAS SATHER,(949) 249-3428,23962 HILLHURST DRIVE,LAGUNA NIGUEL,CA,92677,ORANGE,22,6,CLOSED,5/2/1996,9/15/2022,05252025
RESIDENTIAL CARE ELDERLY,306000352,QUALITY LIFE HOMES #3,"SATHER ELDERLY CARE, INC.",DAWN SATHER,(949) 249-3485,24092 HILLHURST DRIVE,LAGUNA NIGUEL,CA,92677,ORANGE,22,6,CLOSED,5/2/1996,7/26/2022,05252025
RESIDENTIAL CARE ELDERLY,306000631,QUALITY LIFE HOMES #4,"SATHER ELDERLY CARE, INC.",DAWN SATHER,(949) 249-3514,24102 HILLHURST DRIVE,LAGUNA NIGUEL,CA,92677,ORANGE,22,6,CLOSED,8/1/1997,7/26/2022,05252025
RESIDENTIAL CARE ELDERLY,306004399,QUALITY SENIOR LIVING,"QUALITY SENIOR LIVING, LLC",MARIA DOLORES D TENTE,(949) 215-3087,24262 GRASS STREET,LAKE FOREST,CA,92630,ORANGE,22,6,LICENSED,3/16/2012,,05252025
RESIDENTIAL CARE ELDERLY,306006642,QUALITY SENIOR LIVING AT BEATON,PHV 3 RCFE LLC,"PECHO, PINKY",(657) 223-9264,2344 BEATON WAY,ORANGE,CA,92868,ORANGE,22,6,LICENSED,2/18/2025,,05252025
RESIDENTIAL CARE ELDERLY,306006739,QUALITY SENIOR LIVING AT HEALEY,"PHV 2 RCFE, LLC","PECHO, PINKY",(714) 519-5878,9131 HEALEY DR.,GARDEN GROVE,CA,92841,ORANGE,22,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,365530387,QUALITY SENIOR LIVING AT LUNA,PHV 6 RCFE LLC,"LACSON, NATHANIEL",(714) 519-5878,14515 LUNA RD,VICTORVILLE,CA,92392,SAN BERNARDINO,56,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,306006641,QUALITY SENIOR LIVING AT MORENA,PHV 3 RCFE LLC,"TENTE, MARIA",(657) 223-9264,26791 MORENA DRIVE,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,2/12/2025,,05252025
RESIDENTIAL CARE ELDERLY,198603914,QUALITY SENIOR LIVING AT THOMAS 1,PHV 7 RCFE LLC,"LACSON,NATHANIEL",(714) 519-5878,11503 THOMAS PLACE,NORWALK,CA,90650,LOS ANGELES,28,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,198603915,QUALITY SENIOR LIVING AT THOMAS 2,PHC 7 RCFE LLC,"BISNAR,LULU",(714) 519-5878,11507 THOMAS PLACE,NORWALK,CA,90650,LOS ANGELES,28,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,198603913,QUALITY SENIOR LIVING AT THOMAS 3,PHV 7 RCFE LLC,"BISNAR, LULU",(714) 519-5878,11511 THOMAS PLACE,NORWALK,CA,90650,LOS ANGELES,28,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,306006727,QUALITY SENIOR LIVING AT WANDA,"PHV 1 RCFE, LLC","LACSON, NATHANIEL",(714) 519-5878,1300 N WANDA RD,ORANGE,CA,92867,ORANGE,22,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,306004700,QUALITY SENIOR LIVING HOUSE #2,"QUALITY SENIOR LIVING, LLC",MARIA DOLORES D. TENTE,(949) 309-9314,26791 MORENA DRIVE,MISSION VIEJO,CA,92691,ORANGE,22,6,CLOSED,3/6/2015,2/12/2025,05252025
RESIDENTIAL CARE ELDERLY,197606473,QUARTZ GARDEN,"NORTHRIDGE HAVEN, INC",CHRISTINE G. LOYOLA,(818) 885-7522,7250 QUARTZ AVE,WINNETKA,CA,91306,LOS ANGELES,31,6,CLOSED,1/17/2006,7/16/2021,05252025
RESIDENTIAL CARE ELDERLY,197610166,QUARTZ HAVEN,QUARTZ HAVEN INC.,"AYLLON, MADELEINE",(626) 373-4386,7250 QUARTZ AVE,WINNETKA,CA,91306,LOS ANGELES,31,6,LICENSED,7/16/2021,,05252025
RESIDENTIAL CARE ELDERLY,306005310,QUEEN'S HOME 2,QH CORP,"MAGHBOULEH, KATAYOUN",(949) 716-1907,26545 AVENIDA DESEO,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,6/23/2017,,05252025
RESIDENTIAL CARE ELDERLY,306005309,QUEEN'S HOME I,QH CORP,"MAGHBOULEH, KATAYOUN",(949) 716-1835,24422 ZANDRA DRIVE,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,6/22/2017,,05252025
RESIDENTIAL CARE ELDERLY,374603285,QUEEN'S MANOR HOME CARE,"QUEEN'S MANOR HOME CARE, INC.",JANE TOTANES,(760) 806-9455,1025 BONNIE BRAE PLACE,VISTA,CA,92084,SAN DIEGO,18,6,LICENSED,5/31/2013,,05252025
RESIDENTIAL CARE ELDERLY,197608550,"QUEEN COMFORT CARE CENTER, INC.","QUEEN COMFORT CARE CENTER, INC.",GOHAR AMBARTSUMYAN,(818) 469-2995,6534 MCLENNAN AVENUE,VAN NUYS,CA,91406,LOS ANGELES,29,6,LICENSED,4/7/2014,,05252025
RESIDENTIAL CARE ELDERLY,306000924,QUEEN MARY GUEST HOME,"BRUNO, EVANGELINE",EVANGELINE BRUNO,(714) 952-2269,442 N. SYRACUSE ST.,ANAHEIM,CA,92801,ORANGE,22,6,LICENSED,2/19/1999,,05252025
RESIDENTIAL CARE ELDERLY,306003399,QUEEN MARY GUEST HOME II,ROY & EVANGELINE BRUNO,EVANGELINE BRUNO,(714) 484-8880,8089 TEAKWOOD CIRCLE,BUENA PARK,CA,90620,ORANGE,22,6,LICENSED,3/30/2006,,05252025
RESIDENTIAL CARE ELDERLY,275294306,QUEEN OF ANGELS II RCFE,"ANDOY, MERZA NABOR","ANDOY, MERZA",(831) 758-8121,745 CARMELITA DRIVE,SALINAS,CA,93901,MONTEREY,24,6,CLOSED,10/30/2008,12/20/2022,05252025
RESIDENTIAL CARE ELDERLY,092700817,QUEEN OF HEARTS EL DORADO HILLS,"SOHANI, MARGIE","SOHANI, MARGIE",(916) 417-2456,3352 MESA VERDES DR,EL DORADO HILLS,CA,95762,EL DORADO,59,6,CLOSED,,12/10/2020,05252025
RESIDENTIAL CARE ELDERLY,095002843,QUEEN OF HEARTS EL DORADO HILLS,"QUEEN OF HEARTS ELDERCARE, INC.","SOTO-ALFARO, CINDY",(916) 417-2456,3352 MESA VERDES DR,EL DORADO HILLS,CA,95762,EL DORADO,59,6,LICENSED,10/19/2021,,05252025
RESIDENTIAL CARE ELDERLY,347005864,QUEEN OF HEARTS ELDERCARE,QUEEN OF HEARTS ELDERCARE INC,"CINDY,SOTO",(916) 988-6764,9464 OAK AVE,ORANGEVALE,CA,95662,SACRAMENTO,59,14,LICENSED,1/25/2016,,05252025
RESIDENTIAL CARE ELDERLY,197607962,QUEEN OF THE ANGELS ASSISTED LIVING INC.,"QUEEN OF THE ANGELES ASSISTED LIVING, INC.",TERRY & MARY MCGEE,(626) 430-7702,420 S. MANNINGTON PLACE,WEST COVINA,CA,91791,LOS ANGELES,28,6,LICENSED,6/10/2010,,05252025
RESIDENTIAL CARE ELDERLY,015600976,QUEENS CARE HOME II,"QUEENS CARE HOME II, LLC","SANTOS, PROTASIO L.",(925) 825-7745,2724 WILLOWREN WAY,PLEASANTON,CA,94566,ALAMEDA,15,6,CLOSED,6/24/2004,4/24/2023,05252025
RESIDENTIAL CARE ELDERLY,075600497,"QUEENS CARE HOME, LLC","QUEENS CARE HOME, LLC","SANTOS, JOCELYN F.",(925) 551-8284,3200 DE ANZA PLACE,SAN RAMON,CA,94583,CONTRA COSTA,15,6,CLOSED,6/22/2001,5/11/2021,05252025
RESIDENTIAL CARE ELDERLY,306006363,QUEENS HOME 3,K&B MAG CORP,"MAGHBOULEH, KATHY",(714) 731-6385,14752 HOLT AVE,TUSTIN,CA,92780,ORANGE,22,15,LICENSED,12/19/2023,,05252025
RESIDENTIAL CARE ELDERLY,374603359,QUEENS MANOR HOME CARE 2,"TOTANES, JAY & NELIA RIZA",NELIA RIZA TOTANES,(760) 295-1798,248 AMELIA COURT,VISTA,CA,92084,SAN DIEGO,18,6,CLOSED,4/17/2013,3/1/2022,05252025
RESIDENTIAL CARE ELDERLY,421702010,QUEJA RESIDENTIAL FACILITY FOR THE ELDERLY,"QUEJA, DOROTHY H.","QUEJA, DOROTHY",(805) 934-3702,845 PATTERSON ROAD,SANTA MARIA,CA,93454,SANTA BARBARA,29,6,LICENSED,11/30/1993,,05252025
RESIDENTIAL CARE ELDERLY,306005567,QUEZON HOME CARE VILLA,QUEZON HOME CARE VILLA INC,"QUEZON, SIMON P",(714) 583-8182,12631 LORALEEN ST,GARDEN GROVE,CA,92841,ORANGE,22,6,CLOSED,9/16/2019,8/26/2024,05252025
RESIDENTIAL CARE ELDERLY,371881361,QUIET HILLS LIVING,"OM SAI RAMM, LLC","BLAKE, MARY ANN",(760) 270-2075,884 GRETNA GREEN WAY,ESCONDIDO,CA,92025,SAN DIEGO,18,6,CLOSED,8/31/2022,6/16/2023,05252025
RESIDENTIAL CARE ELDERLY,374604162,QUIET HILLS LIVING,"QUIET HILLS LIVING, LLC","BLAKE, MAY",(760) 975-3751,884 GRETNA GREEN WAY,ESCONDIDO,CA,92025,SAN DIEGO,18,6,CLOSED,9/17/2019,8/31/2022,05252025
RESIDENTIAL CARE ELDERLY,374604511,QUIET HILLS LIVING,"OM SAI RAMM, LLC","BLAKE, MAY ANN",(760) 270-2075,884 GRETNA GREEN WAY,ESCONDIDO,CA,92025,SAN DIEGO,18,6,CLOSED,,5/2/2022,05252025
RESIDENTIAL CARE ELDERLY,019201533,QUINCY WAY SENIOR LIVING LLC,QUINCY WAY SENIOR LIVING LLC,"HADI, HAIDAR",(650) 270-8596,617 QUINCY WAY,HAYWARD,CA,94541,ALAMEDA,15,4,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,342701315,QUINLEY SENIOR CARE,M&D QUINLEY PROFESSIONAL SERVICES LLC,"CARPIO, KATHERINE",(916) 594-5353,8712 VIA ALTA WAY,ELK GROVE,CA,95624,SACRAMENTO,27,4,LICENSED,12/15/2023,,05252025
RESIDENTIAL CARE ELDERLY,195850262,QUORA CARE,GRACE.VIMALA INC,"GOCHIN, RHODA",(747) 230-8689,22806 CALIFA STREET,WOODLAND HILLS,CA,91367,LOS ANGELES,29,6,CLOSED,9/21/2022,2/8/2024,05252025
RESIDENTIAL CARE ELDERLY,195850490,QUORA CARE,GRACE VIMALA INC,"WHITE, MALCOLM",(818) 581-0291,22806 CALIFA STREET,WOODLAND HILLS,CA,91367,LOS ANGELES,29,6,CLOSED,,12/18/2023,05252025
RESIDENTIAL CARE ELDERLY,361880952,"R CARE HOME FOR SENIORS, LLC","R CARE HOME FOR SENIORS, LLC","RIVERA, AGNES",(818) 398-4102,4287 ORCHARD STREET,MONTCLAIR,CA,91763,SAN BERNARDINO,56,6,CLOSED,9/11/2020,5/3/2022,05252025
RESIDENTIAL CARE ELDERLY,015600098,R & A RESIDENTIAL CARE FOR THE ELDERLY,"BAUTISTA, ALEJANDRIA AND ROMULO","BAUTISTA, ALEJANDRIA",(510) 441-2457,32438 JEAN DRIVE,UNION CITY,CA,94587,ALAMEDA,15,6,LICENSED,8/12/1996,,05252025
RESIDENTIAL CARE ELDERLY,331881725,"R & B FAMILY HOME CARE, LLC","R & B FAMILY HOME CARE, LLC","JIMENO, FAVIE",(951) 850-2467,25703 SANDY LODGE ROAD,MENIFEE,CA,92586,RIVERSIDE,18,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,342701084,"R & E SENIOR CARE, INC.","R & E SENIOR CARE, INC.",EMILY PASCUA,(916) 895-4357,5231 OLIVEHURST WAY,ELK GROVE,CA,95758,SACRAMENTO,27,6,LICENSED,11/8/2021,,05252025
RESIDENTIAL CARE ELDERLY,197604763,R & G RETIREMENT HOMES,ALBERTO REYES & GAUDENCIA REYES,ALBERTO & GAUDENCIA REYES,(818) 772-2123,18708 SCHOENBORN ST,NORTHRIDGE,CA,91324,LOS ANGELES,31,6,CLOSED,1/9/2004,5/28/2021,05252025
RESIDENTIAL CARE ELDERLY,306002286,"R & R CARE, INC.","R & R CARE, INC.",ROMAN MATAGA,(949) 651-1830,14952 BURNHAM CIRCLE,IRVINE,CA,92604,ORANGE,22,6,LICENSED,11/16/2004,,05252025
RESIDENTIAL CARE ELDERLY,372004836,R & R RESIDENTIAL CARE FOR ELDERLY,"REYES, TERESITA G. & REMELITO R.",REM RYAN REYES,(858) 271-9349,10255 THANKSGIVING LANE,SAN DIEGO,CA,92126,SAN DIEGO,08,5,LICENSED,2/13/1992,,05252025
RESIDENTIAL CARE ELDERLY,374600658,R & R RESIDENTIAL CARE FOR ELDERLY #2,"REYES, TERESITA G. & REMELITO R.",REMELITO REYES,(858) 735-8139,9121 MESA WOODS AVENUE,SAN DIEGO,CA,92126,SAN DIEGO,08,6,LICENSED,10/15/1998,,05252025
RESIDENTIAL CARE ELDERLY,336426238,"R & R RETIREMENT HOME, LLC.",R&R RESIDENTIAL HOME LLC,"RAZON, ELIZABETH",(760) 656-4160,69445 MEGAN COURT,CATHEDRAL CITY,CA,92234,RIVERSIDE,18,6,CLOSED,6/17/2014,1/21/2021,05252025
RESIDENTIAL CARE ELDERLY,331881281,"R2R VENTURES, LLC","R2R VENTURES, LLC","CANTORIA, ROBERT F.",(909) 569-2280,73685 CATALINA WAY,PALM DESERT,CA,92260,RIVERSIDE,18,96,CLOSED,12/2/2021,1/5/2022,05252025
RESIDENTIAL CARE ELDERLY,286803995,"R2R VENTURES, LLC","R2R VENTURES, LLC","CANTORIA, ROBERT F.",(909) 569-2280,2315 FOOTHILL BLVD,CALISTOGA,CA,94515,NAPA,21,6,CLOSED,8/6/2021,8/20/2021,05252025
RESIDENTIAL CARE ELDERLY,392701104,"R2R VENTURES, LLC","R2R VENTURES, LLC","CANTORIA, ROBERT F.",(909) 569-2280,1119 ROSEMARIE LANE,STOCKTON,CA,95207,SAN JOAQUIN,27,68,CLOSED,9/13/2021,11/1/2021,05252025
RESIDENTIAL CARE ELDERLY,552701291,"R2R VENTURES, LLC","R2R VENTURES, LLC","CANTORIA, ROBERT F.",(909) 569-2280,18760 CHABROULLIAN LANE,JAMESTOWN,CA,95327,TUOLUMNE,27,90,CLOSED,4/12/2023,5/1/2023,05252025
RESIDENTIAL CARE ELDERLY,445202713,RACHELLE'S HOME I,"RACHELLE'S HOME, INC","RECINTO, RACHELLE",(831) 319-4190,99 AIRPORT BLVD,FREEDOM,CA,95019,SANTA CRUZ,26,12,LICENSED,12/18/2019,,05252025
RESIDENTIAL CARE ELDERLY,445202722,RACHELLE'S HOME II,"RACHELLE'S HOME, INC","RECINTO, RACHELLE",(831) 319-4465,109 BEHLER RD,WATSONVILLE,CA,95076,SANTA CRUZ,26,12,LICENSED,8/30/2019,,05252025
RESIDENTIAL CARE ELDERLY,445202879,RACHELLE'S HOME III,RACHELLE'S HOME III INC,"ILAGAN, MYLA",(831) 201-4785,4101 FAIRWAY DRIVE,SOQUEL,CA,95073,SANTA CRUZ,26,26,LICENSED,1/23/2024,,05252025
RESIDENTIAL CARE ELDERLY,107209386,RADIANCE SENIOR CAREHOME,"JMJ CARESERVICES, LLC","BAUTISTA, ARLENE",(559) 704-6796,707 W CHENNAULT AVE.,CLOVIS,CA,93611,FRESNO,24,6,LICENSED,11/9/2023,,05252025
RESIDENTIAL CARE ELDERLY,306006598,"RADIANT HEARTS, LLC","RADIANT HEARTS, LLC","SANTIANEZ, RAY",(949) 295-6854,25321 MAXIMUS ST,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,1/30/2025,,05252025
RESIDENTIAL CARE ELDERLY,312700810,RADIANT LIVING SENIOR CARE,RADIANT LIVING SENIOR CARE LLC,"ONG, JONABEL",(916) 308-0698,3081 RADIANT WAY,ROSEVILLE,CA,95747,PLACER,59,6,CLOSED,6/4/2020,6/28/2021,05252025
RESIDENTIAL CARE ELDERLY,197610281,RADIANT STAR CARE HOME,RADIANT STAR CARE HOME INC,"CUENTO, FRANCES",(949) 732-8655,29365 CANYON RIM PLACE,CANYON COUNTRY,CA,91387,LOS ANGELES,31,6,CLOSED,,6/9/2022,05252025
RESIDENTIAL CARE ELDERLY,306005828,RAE'S COTTAGE AT BREA,L & L ROCHE INC.,"ROCHE, LISA",(714) 553-8292,1306 W ALTA MESA DRIVE,BREA,CA,92821,ORANGE,22,6,LICENSED,8/12/2020,,05252025
RESIDENTIAL CARE ELDERLY,306005799,RAE'S COTTAGE AT PLACENTIA,"RAE HILL GROUP, LLC","OTBO, INES",(562) 842-7539,1265 SALVADOR DR. E,PLACENTIA,CA,92870,ORANGE,22,6,LICENSED,5/21/2020,,05252025
RESIDENTIAL CARE ELDERLY,455002733,RAEVENWOOD ASSISTED LIVING,"TOMPKINS, TASHA","TOMPKINS, TASHA",(530) 941-1473,3990 CAPEWOOD CT,COTTONWOOD,CA,96022,SHASTA,59,7,CLOSED,10/30/2019,3/11/2022,05252025
RESIDENTIAL CARE ELDERLY,345920117,RAI ANGELS,RAI ANGELS LLC,"RAI, BALWINDER",(916) 735-5610,6613 TRILBY CT.,CITRUS HEIGHTS,CA,95610,SACRAMENTO,59,6,LICENSED,5/14/2024,,05252025
RESIDENTIAL CARE ELDERLY,345920332,RAI ANGELS 3,RAI ANGELS LLC,"RAI, GURJIT",(916) 945-2122,5600 JOHN RUNGE STREET,SACRAMENTO,CA,95835,SACRAMENTO,59,6,PENDING,,,05252025
